Date,VOO,VT,AAPL,MSFT
04/02/2011,99.894569,39.976818,42.968014,22.252207
07/02/2011,100.527451,40.081978,43.635162,22.596769
08/02/2011,100.993767,40.284199,44.046871,22.66087
09/02/2011,100.743965,40.025352,44.413921,22.412468
10/02/2011,100.77726,39.806931,43.965027,22.03586
11/02/2011,101.410164,40.041527,44.251488,21.835524
14/02/2011,101.659966,40.138596,44.540417,21.819502
15/02/2011,101.293549,40.04961,44.629704,21.730837
16/02/2011,101.943092,40.348927,45.030228,21.779205
17/02/2011,102.326157,40.575401,44.431282,21.932344
18/02/2011,102.492722,40.704842,43.471489,21.811447
22/02/2011,100.394218,39.669422,41.989628,21.432606
23/02/2011,99.82795,39.556175,42.486877,21.432606
24/02/2011,99.728012,39.612797,42.519115,21.577696
25/02/2011,100.810593,40.033447,43.173874,21.400364
28/02/2011,101.410164,40.357002,43.80011,21.424541
01/03/2011,99.678047,39.815029,43.31649,21.086014
02/03/2011,99.961174,40.033447,43.664936,21.021526
03/03/2011,101.67659,40.640137,44.587532,21.118246
04/03/2011,100.92717,40.332741,44.642105,20.916739
07/03/2011,100.044456,40.04961,44.066708,20.73135
08/03/2011,100.977127,40.268021,44.116322,20.884501
09/03/2011,100.860535,40.203312,43.708332,20.868376
10/03/2011,99.011894,39.289242,42.989105,20.481478
11/03/2011,99.678047,39.43483,43.648811,20.699104
14/03/2011,99.095161,39.095093,43.843502,20.70717
15/03/2011,97.995941,38.383232,42.835327,20.465359
16/03/2011,96.13063,37.493431,40.923168,19.981733
17/03/2011,97.329742,38.326618,41.497299,19.973677
18/03/2011,97.746124,38.634018,41.005005,19.98979
21/03/2011,99.228363,39.402477,42.075172,20.416998
22/03/2011,98.878654,39.32159,42.310795,20.392807
23/03/2011,99.195068,39.378216,42.061539,20.586264
24/03/2011,100.127747,39.88784,42.778301,20.803892
25/03/2011,100.425499,39.815029,43.593014,20.650736
28/03/2011,100.208031,39.701778,43.4566,20.481478
29/03/2011,100.860474,39.984901,43.521084,20.545959
30/03/2011,101.546379,40.381275,43.232166,20.642685
31/03/2011,101.412514,40.332741,43.217266,20.465359
01/04/2011,101.880936,40.664394,42.727455,20.537905
04/04/2011,101.931145,40.729107,42.309559,20.59432
05/04/2011,101.931145,40.729107,42.02433,20.779713
06/04/2011,102.232292,40.931339,41.918922,21.077948
07/04/2011,102.048241,40.793831,41.923889,21.118246
08/04/2011,101.66349,40.834255,41.549393,21.013464
11/04/2011,101.312164,40.712929,41.021122,20.940916
12/04/2011,100.57608,40.300388,41.21954,20.666864
13/04/2011,100.609528,40.365097,41.682083,20.658812
14/04/2011,100.626259,40.502613,41.222008,20.489534
15/04/2011,100.977577,40.518799,40.606956,20.449234
18/04/2011,99.873466,39.815029,41.151344,20.215485
19/04/2011,100.492416,40.170956,41.896595,20.271904
20/04/2011,101.847488,40.93943,42.460835,20.763597
21/04/2011,102.299202,41.222549,43.488838,20.570143
25/04/2011,102.198822,41.182102,43.775299,20.642685
